Course Name,Course Code,Stream,Universities Offering Course,Faculty / Department,Duration,Degree Programme,A/L Subject Requirements,O/L Special Requirements,Practical / Aptitude Test,Proposed Intake,Medium of Instruction,Notes
Arts,019,Arts,Colombo; Peradeniya; Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; Eastern; South Eastern; Rajarata,Faculty of Arts,3-4 Years,BA / BA Honours,"Any 3 subjects from Arts Stream Baskets (Social Sciences, Religions, Aesthetic Studies, Languages); at least 1 from Social Sciences basket (exceptions for 3 national/classical languages)",None,No,6983,Sinhala / Tamil / English (varies by university),"Medium of instruction varies: Colombo & Peradeniya: Sinhala/Tamil/English; USJ, Kelaniya, Ruhuna, Rajarata: Sinhala; Jaffna, Eastern, SEUSL: Tamil"
Arts (SP) – Mass Media,020,Arts,"Sripalee Campus, University of Colombo",Sripalee Campus,4 Years,BA Honours in Mass Media,3 Arts subjects; not more than 2 Languages; not more than 1 Religion/Civilization; not more than 1 Technological subject; not more than 1 of Accounting/Business Statistics/Economics,At least S (Ordinary Pass) in English,Yes,110,Sinhala,"Aptitude Test (Interview, Practical, or Written) conducted by Sripalee Campus"
Arts (SP) – Performing Arts,041,Arts,"Sripalee Campus, University of Colombo",Sripalee Campus,4 Years,BA Honours in Performing Arts,3 Arts subjects; not more than 2 Languages; not more than 1 Religion/Civilization; not more than 1 Technological subject; not more than 1 of Accounting/Business Statistics/Economics,At least S (Ordinary Pass) in English,Yes,110,Sinhala,Aptitude Test conducted by Sripalee Campus
Arts (SAB),021,Arts or Commerce,Sabaragamuwa University,Faculty of Social Sciences & Languages,3 Years (BA) / 4 Years (BA Honours),BA / BA Honours,Any 3 from Arts Stream or Commerce Stream,None,No,350,Sinhala / English,55% quota from Arts Stream; 45% from Commerce Stream; selection to 4-year honours based on 1st year performance
Communication Studies,029,Arts,"Trincomalee Campus, Eastern University",Trincomalee Campus,3-4 Years,BA in Communication Studies / BA in Languages,"Any 3 subjects; must include Credit Pass (C) in Sinhala, Tamil or English",At least C (Credit Pass) in English,No,200,English,4th year optional with extra specialization modules
Peace and Conflict Resolution,031,Any (all streams eligible),University of Kelaniya,Faculty of Humanities,4 Years,BA Honours in Peace and Conflict Resolution,Any 3 subjects with S grades (minimum university admission requirements),None,No,33,English,
Islamic Studies,063,Arts,South Eastern University of Sri Lanka,Faculty of Arts & Culture,3 Years,BA in Islamic Studies,Any 3 A/L subjects with S grades; must include Islam or Islamic Civilization,None,No,278,Not specified,
Arabic Language,084,Arts,South Eastern University of Sri Lanka,Faculty of Arts & Culture,3 Years,BA in Arabic Language,Any 3 A/L subjects with S grades; must include Arabic Language,None,No,225,Not specified,
Teaching English as a Second Language (TESL),105,Arts,Kelaniya; Sri Jayewardenepura; Sabaragamuwa,Faculty of Humanities,4 Years,BA Honours in TESL,S or above in English + passes in any other 2 subjects,None,No,150,English,
Social Work,112,Arts,Peradeniya; Sri Jayewardenepura,Faculty of Arts / Faculty of Management,4 Years,Bachelor of Social Work Honours (BSW Hons),Any 3 Arts subjects following basket rules (Section 2.2.1.1),None,No,101,English,
Arts – Information Technology,128,Arts,University of Sri Jayewardenepura,Faculty of Arts,4 Years,BA Honours in Information Technology,Any 3 Arts subjects following basket rules (Section 2.2.1.1),At least C (Credit Pass) in Mathematics,No,50,English,
Music,068,Arts,"Sri Jayewardenepura (50); University of Jaffna (117); Swamy Vipulananda Institute, Eastern (103); University of Visual & Performing Arts (300)",Faculty of Humanities / Institute of Aesthetic Studies,4 Years,BA Honours in Music (USJ); BFA Music (Jaffna); BFA Honours Music (SVIEAS); BPA Honours Music (UVPA),At least 2 S grades in any 2 subjects + at least C grade in Music,None,Yes,570,"Sinhala/English (USJ); Tamil (Jaffna, SVIEAS); Sinhala (UVPA)",Practical/Aptitude Test conducted by each respective institution
