test_id,student_interest,student_stream,predicted_interest_filtered,predicted_all_eligible,expected_top_5,relevant_in_interest_filtered,relevant_in_all_eligible,p_at_5,mrr,ndcg_at_5,eligible_p_at_5,notes
TC_101,I want to be a doctor and save lives. Medicine is my passion and calling.,Biological Science,"052,001,138,051,036","001,002,003,039,004",001,1,1,0.2,0.5,0.6309297535714574,0.2,Bio Science with Z=1.934 (cutoff=1.884) - VERIFIED ELIGIBLE for Medicine
TC_102,"I love working with plants, sustainable farming, and agricultural innovation.",Biological Science,,,004,0,0,0.0,0.0,0.0,0.0,Bio Science with Z=0.797 - VERIFIED ELIGIBLE for Agriculture
TC_103,"I'm passionate about food science, nutrition, and food safety innovation.",Biological Science,,,005,0,0,0.0,0.0,0.0,0.0,Bio Science with Z=1.301 - VERIFIED ELIGIBLE for Food Science
TC_201,"I love building structures, designing systems, and solving engineering challenges.",Physical Science,"008,009,099,010,015","008,009,010,057,013",008,1,1,0.2,1.0,1.0,0.2,Physical Science with Z=1.890 - VERIFIED ELIGIBLE for Engineering
TC_202,"I love programming, building software systems, and working with AI and data.",Physical Science,"136,099,012,065,119","013,012,015,059,119",012,1,1,0.2,0.3333333333333333,0.5,0.2,Physical Science with Z=1.546 - VERIFIED ELIGIBLE for Computer Science
TC_301,"I love managing teams, understanding business strategy, and entrepreneurship.",Commerce,"018,133,017,028","028,017,018,133",016,0,0,0.0,0.0,0.0,0.0,Commerce with Z=1.516 - VERIFIED ELIGIBLE for Management
TC_302,I'm skilled with numbers and want to become a chartered accountant.,Commerce,"133,017,018,028","028,017,018,133",017,1,1,0.2,0.5,0.6309297535714574,0.2,Commerce with Z=1.579 - VERIFIED ELIGIBLE for Accounting
TC_401,"I love literature, history, philosophy, and exploring human culture.",Arts,"063,105,069","063,105,069",019,0,0,0.0,0.0,0.0,0.0,Arts stream student - VERIFIED ELIGIBLE for general Arts degree
TC_501,"I want to study engineering and build bridges, but I'm an Arts student.",Arts,"069,105,063","063,105,069",008,0,0,0.0,0.0,0.0,0.0,Arts stream cannot access Engineering (Physical Science required). System should explain why.
TC_502,I want to become a doctor and study medicine.,Commerce,"133,017,018,127,028","028,017,018,127,133",001,0,0,0.0,0.0,0.0,0.0,Commerce stream cannot access Medicine (Biological Science required). System should explain why.
TC_601,I want to study any biological science program.,Biological Science,,,"004,005",0,0,0.0,0.0,0.0,0.0,"Low Z-score (0.7) - can access Agriculture/Food Science, but NOT Medicine"
